id,category,vec
1,9,"[ 29.  27.  10. ...,   0.   0.   0.]"
2,3,"[ 7.  4.  5. ...,  0.  0.  0.]"
3,5,"[ 3.  2.  2. ...,  0.  0.  0.]"
4,5,"[ 21.   8.   8. ...,   0.   0.   0.]"
5,2,"[ 38.  16.   8. ...,   0.   0.   0.]"
6,10,"[ 42.  15.  11. ...,   0.   0.   0.]"
7,2,"[ 34.   6.  12. ...,   0.   0.   0.]"
8,6,"[ 18.   9.   9. ...,   0.   0.   0.]"
9,4,"[ 69.  18.  24. ...,   0.   0.   0.]"
10,8,"[ 5.  4.  1. ...,  0.  0.  0.]"
11,6,"[ 12.  10.   8. ...,   0.   0.   0.]"
12,3,"[ 18.   5.   6. ...,   0.   0.   0.]"
13,9,"[ 57.  29.  16. ...,   0.   0.   0.]"
14,4,"[ 28.   9.   8. ...,   0.   0.   0.]"
15,9,"[ 17.   5.   9. ...,   0.   0.   0.]"
16,7,"[ 28.  14.   9. ...,   0.   0.   0.]"
17,10,"[ 4.  2.  2. ...,  0.  0.  0.]"
18,1,"[ 29.   5.   6. ...,   0.   0.   0.]"
19,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
20,5,"[ 40.  17.  18. ...,   0.   0.   0.]"
21,4,"[ 25.   1.   8. ...,   0.   0.   0.]"
22,9,"[ 0.  0.  0. ...,  0.  0.  0.]"
23,10,"[ 37.   9.   6. ...,   0.   0.   0.]"
24,3,"[ 56.   6.  15. ...,   0.   0.   0.]"
25,3,"[ 9.  3.  2. ...,  0.  0.  0.]"
26,7,"[ 12.   5.   5. ...,   0.   0.   0.]"
27,1,"[ 33.  20.  10. ...,   0.   0.   0.]"
28,6,"[ 5.  3.  1. ...,  0.  0.  0.]"
29,3,"[ 19.   5.   6. ...,   0.   0.   0.]"
30,10,"[ 3.  1.  2. ...,  0.  0.  0.]"
31,7,"[ 14.   3.   4. ...,   0.   0.   0.]"
32,10,"[ 111.   41.   37. ...,    0.    0.    0.]"
33,7,"[ 15.   8.   5. ...,   0.   0.   0.]"
34,2,"[ 37.  11.  13. ...,   0.   0.   0.]"
35,6,"[ 6.  1.  1. ...,  0.  0.  0.]"
36,8,"[ 11.  11.   3. ...,   0.   0.   0.]"
37,7,"[ 18.   6.  10. ...,   0.   0.   0.]"
38,1,"[ 12.   3.   4. ...,   0.   0.   0.]"
39,6,"[ 21.   7.  11. ...,   0.   0.   0.]"
40,9,"[ 47.   4.  11. ...,   0.   0.   0.]"
41,3,"[ 34.   7.   9. ...,   0.   0.   0.]"
42,3,"[ 29.  14.  11. ...,   0.   0.   0.]"
43,7,"[ 44.  15.  12. ...,   0.   0.   0.]"
44,9,"[ 2.  0.  1. ...,  0.  0.  0.]"
45,7,"[ 24.   9.  10. ...,   0.   0.   0.]"
46,7,"[ 21.   9.   9. ...,   0.   0.   0.]"
47,9,"[ 40.  15.   9. ...,   0.   0.   0.]"
48,8,"[ 16.   3.   4. ...,   0.   0.   0.]"
49,4,"[ 18.   5.   4. ...,   0.   0.   0.]"
50,1,"[ 45.  28.  22. ...,   0.   0.   0.]"
51,5,"[ 34.  11.  11. ...,   0.   0.   0.]"
52,4,"[ 30.   4.   9. ...,   0.   0.   0.]"
53,7,"[ 20.   4.   6. ...,   0.   0.   0.]"
54,8,"[ 11.   2.   3. ...,   0.   0.   0.]"
55,2,"[ 27.  17.  14. ...,   0.   0.   0.]"
56,3,"[ 44.   8.   8. ...,   0.   0.   0.]"
57,8,"[ 30.  11.   6. ...,   0.   0.   0.]"
58,4,"[ 12.   5.   4. ...,   0.   0.   0.]"
59,1,"[ 32.  11.  10. ...,   0.   0.   0.]"
60,1,"[ 83.  37.  19. ...,   0.   0.   0.]"
61,7,"[ 33.  10.  11. ...,   0.   0.   0.]"
62,10,"[ 21.  12.   5. ...,   0.   0.   0.]"
63,2,"[ 21.   6.   7. ...,   0.   0.   0.]"
64,5,"[ 3.  0.  1. ...,  0.  0.  0.]"
65,3,"[ 39.  11.   8. ...,   0.   0.   0.]"
66,6,"[ 12.   7.   3. ...,   0.   0.   0.]"
67,7,"[ 24.   8.  11. ...,   0.   0.   0.]"
68,10,"[ 1.  0.  2. ...,  0.  0.  0.]"
69,7,"[ 15.   6.   4. ...,   0.   0.   0.]"
70,1,"[ 36.  19.  17. ...,   0.   0.   0.]"
71,6,"[ 18.   6.  14. ...,   0.   0.   0.]"
72,10,"[ 2.  2.  1. ...,  0.  0.  0.]"
73,3,"[ 38.  15.   9. ...,   0.   0.   0.]"
74,10,"[ 81.  37.  31. ...,   0.   0.   0.]"
75,4,"[ 33.   4.   9. ...,   0.   0.   0.]"
76,7,"[ 22.   8.   5. ...,   0.   0.   0.]"
77,1,"[ 14.   8.   6. ...,   0.   0.   0.]"
78,8,"[ 33.  13.  11. ...,   0.   0.   0.]"
79,7,"[ 22.   4.   5. ...,   0.   0.   0.]"
80,8,"[ 34.  17.  13. ...,   0.   0.   0.]"
81,5,"[ 34.   9.  12. ...,   0.   0.   0.]"
82,9,"[ 74.  24.  22. ...,   0.   0.   0.]"
83,8,"[ 26.  11.  10. ...,   0.   0.   0.]"
84,3,"[ 18.   6.   4. ...,   0.   0.   0.]"
85,4,"[ 41.  16.  13. ...,   0.   0.   0.]"
86,10,"[ 4.  0.  1. ...,  0.  0.  0.]"
87,6,"[ 23.  14.  11. ...,   0.   0.   0.]"
88,4,"[ 31.   1.   8. ...,   0.   0.   0.]"
89,6,"[ 30.  21.  10. ...,   0.   0.   0.]"
90,4,"[ 27.   9.   7. ...,   0.   0.   0.]"
91,7,"[ 27.   7.   5. ...,   0.   0.   0.]"
92,1,"[ 44.   9.  11. ...,   0.   0.   0.]"
93,2,"[ 45.  14.  18. ...,   0.   0.   0.]"
94,6,"[ 27.  14.  10. ...,   0.   0.   0.]"
95,2,"[ 0.  0.  0. ...,  0.  0.  0.]"
96,3,"[ 40.   9.   7. ...,   0.   0.   0.]"
97,9,"[ 40.   6.  10. ...,   0.   0.   0.]"
98,3,"[ 30.  21.   8. ...,   0.   0.   0.]"
99,9,"[ 29.  11.   8. ...,   0.   0.   0.]"
100,3,"[ 10.   6.   5. ...,   0.   0.   0.]"
101,9,"[ 13.   3.   5. ...,   0.   0.   0.]"
102,5,"[ 20.   5.   5. ...,   0.   0.   0.]"
103,9,"[ 5.  1.  0. ...,  0.  0.  0.]"
104,4,"[ 40.  11.  14. ...,   0.   0.   0.]"
105,4,"[ 30.  11.  12. ...,   0.   0.   0.]"
106,6,"[ 33.  16.  15. ...,   0.   0.   0.]"
107,4,"[ 37.  10.  13. ...,   0.   0.   0.]"
108,6,"[ 9.  6.  4. ...,  0.  0.  0.]"
109,9,"[ 3.  3.  1. ...,  0.  0.  0.]"
110,4,"[ 28.   8.   9. ...,   0.   0.   0.]"
111,7,"[ 23.  14.   7. ...,   0.   0.   0.]"
112,4,"[ 29.   1.  10. ...,   0.   0.   0.]"
113,2,"[ 0.  1.  0. ...,  0.  0.  0.]"
114,8,"[ 33.   7.   8. ...,   0.   0.   0.]"
115,1,"[ 33.  12.   6. ...,   0.   0.   0.]"
116,8,"[ 35.  25.  15. ...,   0.   0.   0.]"
117,9,"[ 36.  20.  10. ...,   0.   0.   0.]"
